Sentiment Compound Score,Sentiment Negative Score,Sentiment Neutral Score,Sentiment Positive Score,Source Account,Tweet Date,Tweet Text,Tweets Ago
0.34,0.0,0.745,0.255,@NYT,Mon Apr 09 04:04:57 +0000 2018,19th-Century Playbills to Be Restored and Digitized. https://t.co/xiB2gklkP2,1
0.5106,0.0,0.732,0.268,@NYT,Mon Apr 09 03:50:56 +0000 2018,"Trust: ‘Trust’ Season 1, Episode 3: Change of Management. https://t.co/cIO5iPSO9n",2
0.3919,0.1,0.687,0.213,@NYT,Mon Apr 09 03:49:56 +0000 2018,"On Golf: Jordan Spieth Misses a Victory, but Gains Another Masters Memory. https://t.co/DoFsihUvOH",3
0.0,0.0,1.0,0.0,@NYT,Mon Apr 09 03:04:57 +0000 2018,"Billions: ‘Billions’ Season 3, Episode 3: Boss Moves. https://t.co/teNHTB3NtW",4
-0.6872,0.288,0.712,0.0,@NYT,Mon Apr 09 02:49:57 +0000 2018,"Orioles 8, Yankees 7 | 12 innings: More Whiffs, and Frustration, for Giancarlo Stanton in Yankees’ Loss. https://t.co/vZHiGVISVo",5
-0.6486,0.264,0.736,0.0,@NYT,Mon Apr 09 02:34:57 +0000 2018,"The Walking Dead: ‘The Walking Dead’ Season 8, Episode 15: Cleaning House. https://t.co/zZ3iKX3rvn",6
0.4215,0.0,0.797,0.203,@NYT,Mon Apr 09 02:05:56 +0000 2018,Review: ‘Mean Girls’ Sets the Perils of Being Popular to Song. https://t.co/umsnwjGXlQ,7
-0.5267,0.236,0.764,0.0,@NYT,Mon Apr 09 02:04:56 +0000 2018,On Pro Basketball: Omri Casspi a Casualty of Golden State’s Numbers Game. https://t.co/0lyOIWouiY,8
0.34,0.0,0.821,0.179,@NYT,Mon Apr 09 01:03:56 +0000 2018,North Korea Said to Offer Direct Assurance It Will Discuss Denuclearization. https://t.co/DIa9qhbGWk,9
0.0,0.0,1.0,0.0,@NYT,Mon Apr 09 00:50:56 +0000 2018,"In the N.B.A., the Court and the Canvas Are Increasingly Intertwined. https://t.co/mvWqsmiYHB",10
0.5106,0.0,0.645,0.355,@NYT,Mon Apr 09 00:49:56 +0000 2018,‘A Culture Free of Sexual Violence’. https://t.co/wQcgctvtJj,11
-0.5719,0.27,0.73,0.0,@NYT,Mon Apr 09 00:35:56 +0000 2018,Op-Ed Columnist: Horror of Being Governed by ‘Fox &amp; Friends’. https://t.co/JN4qlt9t5g,12
-0.6597,0.386,0.614,0.0,@NYT,Mon Apr 09 00:34:56 +0000 2018,Op-Ed Columnist: The Tragedy of James Comey. https://t.co/EcbFEdLRBt,13
-0.6124,0.267,0.733,0.0,@NYT,Mon Apr 09 00:33:56 +0000 2018,A Town That Lives for Hockey Is Devastated by Humboldt Broncos’ Deaths. https://t.co/7Oe7wLu3Cu,14
0.0,0.0,1.0,0.0,@NYT,Mon Apr 09 00:04:56 +0000 2018,Nordstrom Opening a New York Store as Other Retailers Close Theirs. https://t.co/dfTNHUd97i,15
0.0,0.0,1.0,0.0,@NYT,Mon Apr 09 00:03:56 +0000 2018,"In John Bolton, Trump Finds a Fellow Political Blowtorch. Will Foreign Policy Burn?. https://t.co/pLVh0nlNIi",16
-0.4767,0.279,0.721,0.0,@NYT,Sun Apr 08 23:49:56 +0000 2018,Editorial: America’s State Courts Are Under Partisan Attack. https://t.co/EwGo7nj9D0,17
0.4019,0.0,0.748,0.252,@NYT,Sun Apr 08 23:48:56 +0000 2018,Pyongyang Welcomes Hundreds of Foreigners for Yearly Marathon. https://t.co/t9UotDAOGd,18
0.0,0.0,1.0,0.0,@NYT,Sun Apr 08 23:35:56 +0000 2018,Art Collector and Bon Vivant Dies in Trump Tower Home He Couldn’t Sell. https://t.co/YmF3yK0Tfm,19
0.0,0.0,1.0,0.0,@NYT,Sun Apr 08 23:34:56 +0000 2018,"With Alain Vigneault Out, Rangers Have Yet Another Position to Fill. https://t.co/CUfWD21hBp",20
